sample	species	R1	R2
SAM-TYP-001	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-TYP-001/SAM-TYP-001_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-TYP-001/SAM-TYP-001_R2.fastq.gz
SAM-TYP-002	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-TYP-002/SAM-TYP-002_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-TYP-002/SAM-TYP-002_R2.fastq.gz
SAM-ENT-003	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-ENT-003/SAM-ENT-003_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-ENT-003/SAM-ENT-003_R2.fastq.gz
SAM-ENT-004	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-ENT-004/SAM-ENT-004_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-ENT-004/SAM-ENT-004_R2.fastq.gz
SAM-INF-005	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-INF-005/SAM-INF-005_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-INF-005/SAM-INF-005_R2.fastq.gz
SAM-NEW-006	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-NEW-006/SAM-NEW-006_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-NEW-006/SAM-NEW-006_R2.fastq.gz
SAM-CTX-008	Salmonella	tests/fixtures/gold_standard/salmonella/data/SAM-CTX-008/SAM-CTX-008_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-CTX-008/SAM-CTX-008_R2.fastq.gz
SAM-DEC-012	E.coli	tests/fixtures/gold_standard/salmonella/data/SAM-DEC-012/SAM-DEC-012_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-DEC-012/SAM-DEC-012_R2.fastq.gz
SAM-SHI-013	Shigella	tests/fixtures/gold_standard/salmonella/data/SAM-SHI-013/SAM-SHI-013_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-SHI-013/SAM-SHI-013_R2.fastq.gz
SAM-EIEC-014	E.coli	tests/fixtures/gold_standard/salmonella/data/SAM-EIEC-014/SAM-EIEC-014_R1.fastq.gz	tests/fixtures/gold_standard/salmonella/data/SAM-EIEC-014/SAM-EIEC-014_R2.fastq.gz
